"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest","enn_mn_forest"
"5415","Guará",3204906,2021,12,112605.056338031,29.7614004145989,0.670057271337891,0.462172501111762,78.4192202243332,1.09037863944599,15.439001317445,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5416","Guaraçaí",3204955,2021,12,10565.8873239436,29.5454013310416,0.583761609232508,0.370685378051432,80.1872500296567,0.389066800196397,10.0528817176678,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5417","Guaraci",3205002,2021,12,450778.394366214,29.7437768758829,0.638641758693213,0.412368602859348,112.13702107605,8.08385256588189,33.0233151822071,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5418","Guarani d'Oeste",3205010,2021,12,26538.309859156,28.527952467473,0.663009733626005,0.425605416638509,96.9701290762988,0.608637702367754,42.5617596883452,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5419","Guarantã",3205036,2021,12,18024.5492957743,26.0652933856655,0.768582954979961,0.474708595352753,102.119802973822,0.675765814473162,15.2877101739538,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5420","Guararapes",3205069,2021,12,21846.6901408451,24.7515438057172,0.728907962242174,0.452208367803358,85.6811428299222,1.58973006178866,23.8783151326053,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5421","Guararema",3205101,2021,12,66706.4647887304,29.0756767763898,0.710868267586327,0.453444883238581,113.197535207136,2.40525879721339,4.34703669384397,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5422","Guaratinguetá",3205150,2021,12,7610.92957746478,30.600441935999,0.576213344861174,0.370010718390034,70.0055314069995,0.28158483132313,11.999070680323,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5423","Guareí",3205176,2021,12,11894,30.2995812834245,0.609560301994861,0.39133199626453,73.8249466115395,0.39592152320874,14.1693860144557,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5424","Guariba",3205200,2021,12,421779.73239438,30.3062287905976,0.574512873126057,0.381779534335891,111.939518807397,13.9528635055488,28.8411449455734,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5425","Guarujá",3205309,2021,12,313202.070422514,29.5266894648118,0.469083661279481,0.235173141081116,113.186847506193,40.809997706445,80.7899338954686,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5426","Guarulhos",3300100,2021,12,203547.563380271,25.5907296503052,0.815165592778608,0.478751982573541,150.556116243861,1.30239911520282,75.6794150225452,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5427","Guatapará",3300159,2021,12,11103.9154929576,30.1099281591632,0.593318313829618,0.428102683204408,94.2572483519288,0.980417789459894,44.9691673001005,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5428","Guzolândia",3300209,2021,12,129644.478873239,31.4275835412408,0.680162541882275,0.447965884675492,81.3992722140364,3.20850895942336,87.8467535674286,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5429","Herculândia",3300225,2021,12,11253.4647887326,26.8235880117524,0.677689180798082,0.458252771085764,117.416827762754,0.749928548270918,35.3237845414497,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5430","Holambra",3300233,2021,12,34689.0985915509,28.5495384439397,0.609362311368882,0.376196864971532,67.4584475443712,8.64948413883867,72.3904121344289,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5431","Hortolândia",3300258,2021,12,27253.661971831,29.1336630141245,0.443714170702333,0.250255874042789,61.4047684163697,2.5361738232508,88.5370420790248,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5432","Iacanga",3300308,2021,12,86400.1690140883,27.82263315112,0.727555750922006,0.476899116165328,145.471968559772,2.70619166849698,50.965083921571,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5433","Iacri",3300407,2021,12,161913.549295794,29.2359782507624,0.687071418496591,0.462522331678956,117.807735103474,1.79904109234476,60.2443716722424,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5434","Iaras",3300456,2021,12,450991.253521126,36.0131534856126,0.51218693652296,0.326032379804883,109.768069320638,49.3288205374056,9.65800157888801,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
